VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJYGDEF5L,Thurston,Lacey,WA,98516,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,22,124535071,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012221
1N4BZ1CP1K,King,Sammamish,WA,98074,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,102359449,POINT (-122.0313266 47.6285782),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318
5YJXCDE28G,King,Kent,WA,98031,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,33,228682037,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
JHMZC5F37M,Kitsap,Poulsbo,WA,98370,2021,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,23,171566447,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090400
WA1F2AFY4P,Thurston,Olympia,WA,98501,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,22,234923230,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400
3FA6P0SU9L,Thurston,Olympia,WA,98512,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,35,152280740,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000
WAUUPBFF7H,King,Seattle,WA,98136,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,34,193332373,POINT (-122.388675 47.5415),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011601
1N4AZ1CP0K,Thurston,Olympia,WA,98512,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,477446616,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000
5YJXCAE2XG,Kitsap,Bremerton,WA,98310,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,23,103165100,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080400
5YJ3E1EA1J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,476172749,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926
1FADP3R43D,Thurston,Olympia,WA,98502,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,22,107910344,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002
WBY1Z8C55H,Thurston,Centralia,WA,98531,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,20,251164693,POINT (-122.962555 46.716875),PUGET SOUND ENERGY INC,53067012710
JTDKARFP5J,Snohomish,Bothell,WA,98021,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,1,475228582,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051938
5YJ3E1EA7J,Thurston,Lacey,WA,98516,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,254277313,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012226
1N4BZ0CPXG,King,Bellevue,WA,98006,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,175441542,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
WBY7Z2C52J,King,Seattle,WA,98144,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,37,148213054,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900
KNDCD3LD5J,Thurston,Yelm,WA,98597,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,474286284,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012422
5YJSA1E24H,Snohomish,Bothell,WA,98012,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1,127339159,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052009
3FA6P0PU7H,Thurston,Olympia,WA,98501,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,175377835,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010100
